,var38,var15,TARGET
0,39205.17,23,0
1,49278.03,34,0
2,67333.77,23,0
3,64007.97,37,0
4,117310.979016,39,0
5,87975.75,23,0
6,94956.66,27,0
7,251638.95,26,0
8,101962.02,45,0
9,356463.06,25,0
10,125424.06,42,0
11,75368.52,26,0
12,122220.09,51,0
13,118436.97,43,0
14,95294.13,33,0
15,104403.87,30,0
16,117310.979016,44,0
17,153014.13,36,0
18,168943.23,55,0
19,96601.14,28,0
20,69165.03,23,0
21,63445.56,27,0
22,117310.979016,35,0
23,59575.62,54,0
24,117310.979016,42,0
25,78390.81,40,0
26,86262.21,23,0
27,55568.1,25,0
28,34880.28,24,0
29,126815.97,23,0
30,101789.79,14,0
31,63324.9,66,1
32,123113.46,26,0
33,60115.23,25,0
34,117310.979016,42,0
35,66112.08,23,0
36,47546.46,39,0
37,117310.979016,39,0
38,44631.63,23,0
39,75546.15,24,0
40,112968.33,50,0
41,150347.88,22,0
42,96674.94,25,0
43,56161.53,24,0
44,123380.37,62,0
45,90175.05,23,0
46,155235.3,23,0
47,43998.48,42,0
48,114497.61,24,0
49,237000.24,60,0
50,245388.78,42,0
51,76889.91,22,0
52,84896.85,64,0
53,56913.06,76,0
54,55562.91,26,0
55,67685.46,23,0
56,44286.45,40,0
57,99522.72,26,0
58,101700.48,31,0
59,336550.11,23,0
60,149904.78,38,0
61,59325.75,41,0
62,51689.55,23,0
63,191661.84,26,0
64,169579.74,25,0
65,95834.85,56,0
66,39305.16,26,0
67,41807.67,23,0
68,165258.42,23,0
69,36490.74,24,0
70,117310.979016,23,0
71,27443.34,28,0
72,65554.47,35,0
73,54182.85,24,0
74,150676.41,25,0
75,41508.24,51,0
76,117310.979016,72,0
77,105994.47,25,0
78,117310.979016,23,0
79,117310.979016,24,0
80,124988.25,45,1
81,190417.68,23,0
82,125764.98,27,0
83,255365.25,36,0
84,472322.1,23,0
85,204085.62,23,0
86,117310.979016,26,0
87,101485.23,23,0
88,174881.82,44,0
89,117310.979016,68,0
90,102074.61,5,0
91,48160.14,25,0
92,83856.36,25,0
93,117310.979016,72,0
94,149896.02,23,0
95,158522.37,25,0
96,208818.99,23,0
97,23169.78,56,0
98,200807.07,25,0
99,165635.1,23,0
100,64978.32,23,0
101,395158.38,33,0
102,40034.1,23,0
103,117310.979016,23,0
104,49965.87,77,0
105,93861.78,28,0
106,194717.55,29,0
107,52629.36,42,0
108,70804.53,25,0
109,117310.979016,38,0
